Parking_lot,file_name,month,day,year,hour,minute,yolo_car_count
StevensCreek,03-06-2020-10-17.jpeg,6,3,2020,10,17,0
StevensCreek,03-06-2020-10-27.jpeg,6,3,2020,10,27,0
StevensCreek,03-06-2020-10-37.jpeg,6,3,2020,10,37,0
StevensCreek,03-06-2020-10-47.jpeg,6,3,2020,10,47,0
StevensCreek,03-06-2020-10-57.jpeg,6,3,2020,10,57,0
StevensCreek,03-06-2020-11-07.jpeg,6,3,2020,11,7,0
StevensCreek,03-06-2020-11-17.jpeg,6,3,2020,11,17,1
StevensCreek,03-06-2020-11-27.jpeg,6,3,2020,11,27,3
StevensCreek,03-06-2020-11-37.jpeg,6,3,2020,11,37,2
StevensCreek,03-06-2020-11-48.jpeg,6,3,2020,11,48,2
StevensCreek,03-06-2020-11-58.jpeg,6,3,2020,11,58,2
StevensCreek,03-06-2020-12-08.jpeg,6,3,2020,12,8,3
StevensCreek,03-06-2020-12-18.jpeg,6,3,2020,12,18,2
StevensCreek,03-06-2020-12-29.jpeg,6,3,2020,12,29,1
StevensCreek,03-06-2020-12-39.jpeg,6,3,2020,12,39,3
StevensCreek,03-06-2020-12-49.jpeg,6,3,2020,12,49,3
StevensCreek,03-06-2020-12-59.jpeg,6,3,2020,12,59,2
StevensCreek,03-06-2020-13-09.jpeg,6,3,2020,13,9,2
StevensCreek,03-06-2020-13-19.jpeg,6,3,2020,13,19,2
StevensCreek,03-06-2020-13-29.jpeg,6,3,2020,13,29,2
StevensCreek,03-06-2020-13-39.jpeg,6,3,2020,13,39,2
StevensCreek,03-06-2020-13-49.jpeg,6,3,2020,13,49,2
StevensCreek,03-06-2020-13-59.jpeg,6,3,2020,13,59,2
StevensCreek,03-06-2020-14-09.jpeg,6,3,2020,14,9,2
StevensCreek,03-06-2020-14-19.jpeg,6,3,2020,14,19,2
StevensCreek,03-06-2020-14-29.jpeg,6,3,2020,14,29,2
StevensCreek,03-06-2020-14-40.jpeg,6,3,2020,14,40,1
StevensCreek,03-06-2020-14-50.jpeg,6,3,2020,14,50,1
StevensCreek,03-06-2020-15-00.jpeg,6,3,2020,15,0,1
StevensCreek,03-06-2020-15-10.jpeg,6,3,2020,15,10,1
StevensCreek,03-06-2020-15-20.jpeg,6,3,2020,15,20,1
StevensCreek,03-06-2020-15-30.jpeg,6,3,2020,15,30,1
StevensCreek,03-06-2020-15-40.jpeg,6,3,2020,15,40,2
StevensCreek,03-06-2020-15-50.jpeg,6,3,2020,15,50,1
StevensCreek,03-06-2020-16-00.jpeg,6,3,2020,16,0,1
StevensCreek,03-06-2020-16-10.jpeg,6,3,2020,16,10,1
StevensCreek,03-06-2020-16-20.jpeg,6,3,2020,16,20,1
StevensCreek,03-06-2020-16-30.jpeg,6,3,2020,16,30,1
